Descricao;Codigo
3 TO GO PALETTE - TRIO DE SOMBRAS./BLAST;7908725503253
3 TO GO PALETTE - TRIO DE SOMBRAS./DAZZLE;7908725501495
3 TO GO PALETTE - TRIO DE SOMBRAS./FADE;7908725503246
3 TO GO PALETTE - TRIO DE SOMBRAS./GLARE;7908725503260
3 TO GO PALETTE - TRIO DE SOMBRAS./HAZEL;7908725501488
3 TO GO PALETTE - TRIO DE SOMBRAS./JEWEL;7908725503239
4 PALETTE EDITION - PALETA DE;7898576398156
4 PALETTE EDITION - PALETA DE;7898576398170
4 PALETTE EDITION - PALETA DE;7898576398163
6 PALETTE EDITION - PALETA DE;7898576398187
6 PALETTE EDITION - PALETA DE;7898576398149
A14 PINCEL PROFISSIONAL DUPLO ESCOVA E;7899583200913
A21 PINCEL PROFISSIONAL TRIANGULAR MEDIO;7899583202344
A24 UN PINCEL PROFISSIONAL CURVADO PARA;7899583202375
A27 PINCEL PROFISSIONAL OVAL PARA ESFUMAR7;899583202405
A29 PINCEL PROFISSIONAL CONICO PARA;7899583202429
ACNE PATCHES - ADESIVOS SECATIVOS DE;7898930769622
ANGEL LIPS BATOM RED CARPET BY PRI LESSA;7898600993715
B B CREAM LATIKA 10 ESCURO-01X01;7898555602212
BASE LIQUIDA MARIA MARGARIDA COR 06;7899996504158
BASE MATE REAL FILTER FRAN C02;7898969501279
BASE MATE REAL FILTER FRAN C04;7898969501293
BASE MATE REAL FILTER FRAN M01;7898969501316
BASE MATE REAL FILTER FRAN M02;7898969501323
BASE MATE REAL FILTER FRAN M03;7898969501330
BASE MATTE ALTA COBERTURA 1 PAYOT;7896609550250
BASE MATTE ALTA COBERTURA 2 PAYOT;7896609550267
BASE MATTE ALTA COBERTURA 3 PAYOT;7896609550274
BASE MATTE ALTA COBERTURA 4 PAYOT;7896609550281
BASE MATTE ALTA COBERTURA 7 PAYOT;7896609550311
BATOM HID CANELA 3,6G PAYOT;7896609548851
BATOM HID MALVA 3,6G;7896609547380
BATOM HID NUDE 3,6G PAYOT;7896609547335
BATOM HID ROSA CHA 3,6G PAYOT;7896609548875
